iter	Passed	Remaining
0	6	3434
1	11	2851
2	16	2720
3	21	2649
4	26	2628
5	31	2629
6	37	2632
7	43	2650
8	48	2663
9	53	2642
10	59	2651
11	64	2642
12	70	2640
13	76	2647
14	82	2655
15	87	2635
16	92	2627
17	98	2625
18	103	2627
19	110	2659
20	116	2652
21	121	2644
22	127	2635
23	133	2649
24	139	2657
25	146	2675
26	153	2692
27	159	2682
28	165	2692
29	171	2694
30	177	2686
31	184	2701
32	190	2696
33	197	2702
34	205	2723
35	211	2728
36	218	2736
37	225	2741
38	233	2759
39	239	2751
40	246	2757
41	252	2749
42	257	2739
43	264	2736
44	270	2733
45	276	2728
46	282	2718
47	288	2713
48	295	2716
49	300	2705
50	306	2700
51	312	2691
52	319	2693
53	325	2686
54	330	2676
55	336	2666
56	342	2662
57	348	2659
58	354	2646
59	359	2637
60	365	2629
61	370	2618
62	376	2611
63	382	2605
64	387	2594
65	393	2587
66	400	2586
67	407	2588
68	415	2593
69	423	2599
70	429	2592
71	434	2580
72	440	2573
73	446	2568
74	452	2565
75	459	2562
76	465	2559
77	473	2560
78	479	2553
79	485	2546
80	490	2535
81	496	2528
82	504	2535
83	511	2533
84	517	2525
85	522	2517
86	528	2509
87	535	2506
88	541	2502
89	547	2495
90	554	2491
91	559	2481
92	565	2473
93	570	2465
94	576	2458
95	581	2448
96	587	2440
97	594	2437
98	600	2434
99	607	2430
100	613	2423
101	619	2416
102	624	2407
103	629	2396
104	634	2388
105	640	2379
106	645	2369
107	651	2365
108	657	2356
109	661	2346
110	668	2343
111	673	2334
112	679	2325
113	684	2317
114	689	2307
115	694	2298
116	699	2289
117	703	2277
118	707	2266
119	713	2259
120	718	2250
121	722	2239
122	727	2231
123	732	2220
124	736	2210
125	741	2201
126	747	2194
127	751	2184
128	756	2177
129	762	2169
130	767	2161
131	772	2154
132	777	2146
133	782	2137
134	787	2127
135	791	2118
136	796	2110
137	801	2101
138	807	2096
139	814	2093
140	819	2086
141	824	2078
142	829	2071
143	835	2065
144	840	2057
145	845	2050
146	851	2044
147	856	2038
148	862	2031
149	867	2025
150	873	2019
151	879	2013
152	884	2005
153	889	1999
154	894	1991
155	899	1984
156	904	1975
157	909	1968
158	914	1961
159	918	1952
160	924	1946
161	929	1938
162	933	1930
163	938	1923
164	944	1917
165	953	1919
166	958	1911
167	963	1903
168	967	1894
169	972	1887
170	977	1879
171	981	1871
172	986	1864
173	990	1856
174	995	1848
175	999	1840
176	1004	1833
177	1009	1825
178	1013	1817
179	1018	1810
180	1023	1803
181	1027	1795
182	1031	1787
183	1036	1780
184	1041	1773
185	1045	1765
186	1051	1760
187	1056	1752
188	1060	1745
189	1065	1738
190	1070	1731
191	1074	1724
192	1079	1717
193	1085	1712
194	1092	1708
195	1097	1703
196	1102	1696
197	1107	1688
198	1112	1682
199	1117	1675
200	1121	1668
201	1126	1662
202	1131	1655
203	1136	1648
204	1140	1641
205	1146	1635
206	1151	1629
207	1155	1622
208	1160	1616
209	1166	1610
210	1170	1603
211	1176	1598
212	1183	1594
213	1189	1589
214	1197	1586
215	1211	1593
216	1221	1592
217	1231	1592
218	1244	1596
219	1261	1605
220	1267	1600
221	1272	1593
222	1282	1593
223	1291	1591
224	1297	1585
225	1302	1579
226	1307	1572
227	1312	1566
228	1317	1558
229	1321	1551
230	1325	1544
231	1330	1537
232	1334	1529
233	1339	1523
234	1345	1517
235	1351	1511
236	1355	1504
237	1361	1498
238	1366	1492
239	1371	1485
240	1378	1481
241	1383	1474
242	1387	1467
243	1393	1461
244	1397	1454
245	1402	1447
246	1408	1442
247	1412	1435
248	1417	1428
249	1437	1437
250	1442	1431
251	1446	1423
252	1451	1416
253	1455	1409
254	1459	1402
255	1463	1395
256	1469	1389
257	1474	1383
258	1480	1377
259	1485	1371
260	1490	1365
261	1496	1358
262	1501	1352
263	1506	1346
264	1511	1340
265	1517	1334
266	1523	1329
267	1528	1323
268	1533	1317
269	1539	1311
270	1544	1305
271	1549	1299
272	1555	1293
273	1562	1288
274	1567	1282
275	1573	1277
276	1579	1271
277	1585	1266
278	1592	1261
279	1599	1256
280	1607	1252
281	1613	1247
282	1622	1243
283	1631	1240
284	1643	1239
285	1653	1237
286	1662	1233
287	1672	1231
288	1679	1226
289	1689	1223
290	1697	1219
291	1706	1215
292	1713	1210
293	1721	1206
294	1728	1201
295	1736	1196
296	1744	1192
